,sale_date,bedrooms,bathrooms,house_floors,kcgs_waterfront,kcgs_view,kcgs_condition,kcgs_grade,year_construction,year_renovation,zip_code,price,m2_living,m2_lot,m2_above,m2_basement,m2_living_2015,m2_lot_2015
1155,03.06.14,4,3.0,1.0,0,2,5,8,1970,0,98075,875000,346,1151,173,173,296,1444
1156,07.11.14,4,4.0,2.0,0,2,3,11,2007,0,98027,980000,346,664,346,0,375,692
1157,01.12.14,6,4.0,2.0,0,0,3,10,2003,0,98040,1520000,346,1086,346,0,282,1086
1158,30.06.14,4,3.0,3.0,0,0,3,7,1979,2014,98059,500000,346,1399,346,0,188,1411
1159,21.01.15,4,4.0,2.0,0,3,3,10,2004,0,98065,760000,346,1263,346,0,391,1327
1160,27.05.14,5,4.0,2.0,0,0,3,10,2005,0,98075,960000,346,1413,346,0,381,1769
1161,30.04.15,4,5.0,2.0,0,2,3,9,2006,0,98116,1050000,346,534,275,71,237,534
1162,17.10.14,4,4.0,1.0,0,2,3,10,2007,0,98010,780000,346,19802,346,0,204,5506
1163,05.01.15,4,5.0,2.0,0,0,3,10,2014,0,98034,960000,346,720,346,0,286,1029
1164,24.03.15,4,4.0,2.0,0,0,3,9,2012,0,98053,955000,346,629,346,0,288,631
1165,11.03.15,4,4.0,2.0,0,0,3,8,2002,0,98056,552500,345,967,213,132,160,397
1166,30.03.15,4,3.0,2.0,0,2,5,10,1936,0,98105,2540000,345,1859,257,88,369,1859
1167,22.08.14,3,4.0,2.0,0,0,3,10,1998,0,98014,935000,345,3579,345,0,156,2404
1168,09.07.14,4,3.0,2.0,0,0,3,9,1999,0,98065,692500,345,742,345,0,274,742
1169,27.04.15,4,3.0,2.0,0,0,3,9,2003,0,98029,846450,345,696,345,0,283,696
1170,06.04.15,5,3.0,2.0,0,0,3,9,1996,0,98056,641000,345,806,345,0,302,807
1171,16.09.14,5,4.0,2.0,0,0,3,8,1986,0,98074,635000,345,3178,233,112,160,2147
1172,16.04.15,4,3.0,1.0,0,0,3,10,2005,0,98001,485000,345,1481,198,147,341,1665
1173,05.09.14,3,4.0,2.0,0,0,3,10,1978,0,98075,998000,345,3198,270,74,222,3198
1174,04.12.14,5,3.0,2.0,0,3,4,9,1977,0,98006,1250000,345,1289,217,127,313,1289
1175,11.11.14,5,4.0,2.0,0,0,3,9,2011,0,98053,830000,344,502,269,75,336,507
1176,22.12.14,5,3.0,1.0,0,1,5,8,1970,0,98177,722500,344,670,172,172,217,734
1177,26.12.14,5,2.0,1.0,0,0,3,8,1957,0,98178,415000,344,849,172,172,204,625
1178,15.08.14,4,4.0,2.0,0,0,4,11,1989,0,98006,1290000,344,1224,344,0,361,1441
1179,14.08.14,3,3.0,1.0,0,0,3,10,2000,0,98117,1100000,344,1567,202,142,216,1115
1180,10.02.15,4,3.0,2.0,0,0,3,10,1992,0,98077,898000,344,5947,344,0,298,4388
1181,02.07.14,3,3.0,2.0,0,0,3,9,1982,0,98188,489000,344,964,344,0,198,849
1182,09.12.14,5,4.0,2.0,0,0,3,8,1950,2014,98105,1300000,344,790,256,88,220,580
1183,21.11.14,4,3.0,2.0,0,0,3,11,2006,0,98029,950000,344,655,344,0,333,574
1184,11.12.14,5,4.0,3.0,0,4,3,9,1983,0,98115,1400000,344,736,270,74,266,591
1185,29.09.14,4,5.0,1.0,0,0,4,7,1962,0,98028,599000,344,1022,171,173,160,1075
1186,07.05.14,7,6.0,2.0,0,1,3,8,1948,1984,98155,540000,344,711,344,0,233,695
1187,10.06.14,4,3.0,1.0,0,4,3,11,1988,0,98006,1250000,344,2022,243,100,323,1281
1188,24.10.14,4,3.0,1.0,0,0,5,8,1973,0,98006,590000,344,1162,178,165,188,776
1189,17.06.14,4,3.0,1.0,0,0,4,10,1976,0,98004,1730000,344,1912,172,172,286,1635
1190,11.12.14,4,3.0,2.0,0,0,3,9,2007,0,98028,650000,344,418,344,0,283,469
1191,11.02.15,5,4.0,2.0,0,0,3,9,2014,0,98074,889950,344,656,344,0,295,607
1192,11.07.14,3,4.0,2.0,0,0,3,11,1998,0,98033,1480000,344,210,212,132,365,239
1193,27.01.15,4,4.0,2.0,0,0,3,9,2014,0,98053,994900,343,609,343,0,387,631
1194,18.07.14,4,3.0,2.0,0,1,3,8,2013,0,98074,800000,343,1030,343,0,296,1047
1195,23.10.14,4,3.0,2.0,0,2,3,10,1996,0,98075,780000,343,1265,343,0,335,1265
1196,08.12.14,5,2.0,1.0,0,0,3,9,1985,0,98042,440000,343,3349,176,167,249,4101
1197,12.06.14,5,4.0,2.0,0,0,3,9,2006,0,98074,640000,343,1109,236,107,245,1109
1198,05.05.14,4,3.0,2.0,0,0,3,10,1998,0,98075,865000,343,919,343,0,319,1050
1199,11.09.14,2,3.0,2.0,1,4,3,12,1989,0,98166,1900000,343,2978,343,0,215,2508
1200,21.05.14,3,4.0,2.0,0,0,3,11,2007,0,98033,1580000,343,669,343,0,175,669
1201,16.05.14,5,4.0,2.0,0,0,5,9,1977,0,98155,655000,343,1148,343,0,213,844
1202,26.06.14,5,3.0,1.0,0,2,3,9,1960,0,98198,575000,343,4620,250,93,241,808
1203,20.04.15,4,3.0,1.0,0,3,4,10,1951,0,98199,1120000,343,1040,204,139,322,758
1204,24.10.14,5,3.0,1.0,0,4,4,9,1967,0,98005,1130000,343,954,192,151,294,1301
1205,14.08.14,4,3.0,2.0,0,0,3,11,1987,0,98027,900000,343,1066,343,0,313,999
1206,20.06.14,3,4.0,2.0,0,0,3,10,2001,0,98065,725000,343,821,343,0,343,891
1207,15.10.14,3,3.0,2.0,0,0,3,10,1994,0,98006,1030000,342,1244,342,0,335,1051
1208,23.05.14,4,3.0,1.0,0,3,3,10,1967,0,98199,980000,342,544,191,151,292,465
1209,10.03.15,3,4.0,2.0,0,0,3,9,1988,0,98074,722080,342,711,217,125,212,791
1210,01.10.14,4,3.0,2.0,0,3,3,9,1936,0,98105,1600000,342,465,230,112,297,465
1211,06.01.15,9,3.0,2.0,0,0,3,7,1908,0,98102,700000,342,409,263,79,182,228
1212,12.09.14,3,3.0,2.0,0,0,3,9,1994,0,98014,755000,342,18946,342,0,224,13400
1213,08.05.15,4,3.0,2.0,0,0,3,10,2006,0,98038,679000,342,672,342,0,308,667
1214,20.10.14,4,3.0,2.0,0,0,4,9,1981,0,98042,425000,342,2441,342,0,217,1853
1215,18.10.14,5,4.0,2.0,0,0,5,9,1925,0,98112,1850000,342,563,244,98,283,544
1216,08.01.15,4,3.0,2.0,0,0,4,8,1970,0,98027,595000,342,3321,216,126,298,3672
1217,12.05.14,4,4.0,2.0,0,0,3,9,2003,0,98027,788000,342,535,264,78,336,558
1218,31.07.14,4,3.0,2.0,0,2,5,9,1946,1982,98004,1900000,342,1241,342,0,317,1087
1219,03.04.15,5,4.0,2.0,0,0,3,9,2003,0,98033,1380000,342,807,342,0,188,822
1220,07.05.14,4,4.0,2.0,0,0,3,10,1990,0,98074,675000,342,1748,342,0,297,1483
1221,20.08.14,4,3.0,2.0,0,2,3,10,2008,0,98115,935000,342,660,269,73,147,633
1222,17.07.14,3,3.0,1.0,0,0,3,10,1985,0,98052,770000,342,3310,222,120,332,3312
1223,10.12.14,5,4.0,2.0,0,0,4,10,1927,0,98105,1480000,342,957,342,0,250,669
1224,25.09.14,4,4.0,3.0,0,0,3,9,1930,2007,98112,770000,342,208,248,94,125,120
1225,22.01.15,4,4.0,1.0,0,3,5,10,1959,0,98136,1050000,342,797,171,171,251,846
1226,14.08.14,4,3.0,2.0,0,0,3,10,1986,0,98006,909000,342,1083,342,0,263,1046
1227,16.07.14,3,4.0,2.0,0,2,3,11,1999,0,98007,1230000,342,1068,342,0,345,932
1228,08.05.15,4,4.0,2.0,0,1,3,9,1987,0,98166,699950,341,1189,341,0,299,1217
1229,10.09.14,5,4.0,2.0,0,0,3,9,2006,0,98092,405000,341,905,279,62,199,847
1230,03.12.14,4,3.0,2.0,0,0,4,9,1994,0,98077,921500,341,29310,341,0,264,8178
1231,10.06.14,5,3.0,1.0,0,0,5,8,1952,0,98155,569000,341,984,191,150,253,1289
1232,10.11.14,3,3.0,1.0,0,4,3,10,1983,0,98177,1250000,341,1720,235,106,271,1859
1233,22.07.14,4,4.0,2.0,0,0,3,9,2005,0,98177,796000,341,461,267,74,141,589
1234,16.10.14,3,2.0,1.0,0,2,4,9,1979,0,98006,920000,341,1104,181,160,281,906
1235,13.08.14,4,3.0,2.0,0,3,4,10,1986,0,98006,1220000,341,1431,341,0,313,1236
1236,13.06.14,4,3.0,2.0,0,0,3,10,1999,0,98074,883000,341,5060,341,0,270,4615
1237,09.07.14,4,3.0,2.0,0,0,3,10,2005,0,98058,525000,341,925,341,0,307,992
1238,27.03.15,5,3.0,2.0,0,0,3,8,1973,0,98052,731000,341,833,341,0,217,876
1239,07.01.15,5,3.0,1.0,0,1,3,8,1955,0,98108,605000,341,892,184,157,161,458
1240,16.07.14,4,3.0,2.0,0,0,3,10,1999,0,98074,885250,341,4615,341,0,283,4615
1241,17.06.14,7,5.0,2.0,0,1,3,8,1964,0,98199,824000,341,372,260,81,187,372
1242,24.05.14,4,3.0,2.0,0,0,3,10,2005,0,98075,820000,341,651,341,0,342,691
1243,30.06.14,4,3.0,3.0,0,0,3,10,2007,0,98029,950000,341,714,341,0,291,568
1244,28.04.15,6,4.0,2.0,0,0,3,10,2008,0,98119,1500000,341,368,224,117,191,337
1245,01.07.14,3,3.0,2.0,0,2,4,9,1989,0,98022,530000,340,3669,303,37,251,3561
1246,31.03.15,3,2.0,1.0,0,3,4,9,1947,0,98117,1200000,340,2083,170,170,249,767
1247,10.10.14,4,4.0,2.0,0,0,3,10,1994,0,98023,475000,340,1338,247,93,258,990
1248,21.05.14,4,4.0,3.0,0,0,3,10,1909,1995,98112,1510000,340,539,312,28,301,539
1249,26.11.14,4,3.0,2.0,0,0,3,10,1990,0,98053,730000,340,13967,340,0,287,4979
1250,22.08.14,4,3.0,2.0,0,0,3,9,2014,0,98053,839990,340,524,340,0,337,524
1251,29.07.14,3,4.0,2.0,0,0,3,10,2003,0,98038,920000,340,6153,340,0,340,9958
1252,02.05.14,5,4.0,2.0,0,2,3,10,2006,0,98065,785000,340,1115,340,0,309,1045
1253,04.08.14,4,4.0,2.0,0,0,3,9,2014,0,98034,809950,340,456,257,84,337,464
1254,15.10.14,4,4.0,2.0,0,0,3,9,2014,0,98199,1110000,340,442,264,76,298,431
1255,10.04.15,5,3.0,1.0,0,0,5,8,1955,0,98008,740000,340,4817,202,138,235,800
1256,29.09.14,4,3.0,1.0,1,4,3,9,2000,0,98074,2400000,339,776,170,169,290,1751
1257,02.05.14,5,3.0,2.0,0,4,5,10,1921,0,98119,2380000,339,841,313,26,268,502
1258,12.05.14,5,3.0,1.0,0,0,4,10,1975,0,98004,1580000,339,1873,219,120,299,1840
1259,29.09.14,3,2.0,2.0,0,0,4,7,1991,0,98070,550000,339,78374,339,0,174,25464
1260,08.08.14,9,5.0,2.0,0,0,3,8,1915,2010,98105,1280000,339,465,235,104,233,465
1261,25.11.14,5,3.0,1.0,0,3,4,9,1978,0,98006,1310000,339,1543,173,166,293,967
1262,13.06.14,4,3.0,2.0,0,0,4,8,1978,0,98077,697000,339,4494,339,0,262,4939
1263,16.07.14,4,3.0,2.0,0,0,3,9,2006,0,98052,835000,339,723,339,0,293,599
1264,28.05.14,4,3.0,2.0,0,2,4,9,1951,2003,98115,1210000,339,649,235,104,292,734
1265,27.06.14,5,3.0,2.0,0,0,5,9,1969,0,98040,1200000,339,1236,256,84,270,1075
1266,24.09.14,4,4.0,2.0,0,0,3,10,1996,0,98077,824000,339,5347,339,0,347,5228
1267,28.07.14,3,3.0,2.0,0,4,4,7,1947,0,98144,920000,339,497,204,135,181,462
1268,09.07.14,4,4.0,2.0,0,0,3,9,1996,0,98045,696000,339,3582,237,102,266,3186
1269,14.04.15,5,3.0,1.0,0,0,4,10,1976,0,98040,1090000,339,1214,172,167,257,1294
1270,14.01.15,3,4.0,1.0,0,0,3,10,2011,0,98031,680000,339,9635,191,149,237,1500
1271,14.07.14,4,5.0,2.0,0,0,3,9,1907,2014,98119,1520000,339,495,217,123,159,335
1272,16.01.15,4,3.0,2.0,0,0,3,7,2014,0,98028,550000,339,421,273,66,223,714
1273,17.09.14,4,4.0,2.0,0,3,3,9,2013,0,98006,799900,339,1694,309,30,299,1024
1274,05.05.15,4,3.0,2.0,0,0,3,10,2008,0,98074,861111,339,659,339,0,359,676
1275,18.06.14,4,3.0,2.0,0,0,3,11,1999,0,98075,913000,338,983,338,0,313,962
1276,27.08.14,4,3.0,2.0,0,0,3,10,1999,0,98027,780000,338,21537,338,0,248,8461
1277,11.09.14,4,4.0,2.0,0,2,5,9,1913,0,98122,1270000,338,335,182,156,180,428
1278,26.06.14,5,3.0,2.0,0,0,3,8,2004,0,98038,555000,338,644,338,0,348,667
1279,01.06.14,5,3.0,2.0,0,3,3,10,1982,0,98008,1600000,338,766,236,102,309,989
1280,08.04.15,4,4.0,1.0,0,0,3,9,1924,2000,98039,1650000,338,1257,239,99,257,1394
1281,09.02.15,3,3.0,1.0,0,0,4,9,1979,0,98006,925000,338,957,191,147,289,987
1282,05.05.15,5,3.0,2.0,0,0,3,10,1996,0,98006,1200000,338,2652,338,0,309,1597
1283,01.12.14,4,3.0,2.0,0,0,3,9,2014,0,98052,932990,338,594,338,0,332,586
1284,25.02.15,4,4.0,2.0,0,3,3,9,2014,0,98075,895900,338,463,259,79,304,1366
1285,12.12.14,4,4.0,2.0,0,0,3,9,2014,0,98052,939000,338,562,338,0,334,567
1286,15.08.14,4,4.0,2.0,0,0,3,10,2005,0,98074,925000,338,5584,338,0,270,4807
1287,28.10.14,4,3.0,2.0,0,0,3,8,2010,0,98118,630000,338,474,255,84,178,854
1288,16.03.15,3,3.0,1.0,0,0,4,9,1972,0,98040,1090000,337,1024,200,138,293,1260
1289,29.08.14,4,3.0,1.0,0,2,4,8,1968,0,98040,769000,337,1432,172,165,314,1039
1290,24.03.15,4,4.0,2.0,0,0,3,10,1970,2008,98056,698000,337,527,337,0,151,502
1291,02.05.14,4,3.0,2.0,0,0,3,9,1979,0,98092,400000,337,3986,214,124,263,7449
1292,30.04.15,3,3.0,2.0,0,0,3,11,1999,0,98074,964000,337,881,337,0,302,1079
1293,09.10.14,5,3.0,2.0,0,0,3,11,2000,0,98058,716500,337,3574,337,0,413,4682
1294,24.03.15,4,3.0,2.0,0,0,3,10,1999,0,98074,962800,337,1094,337,0,353,1157
1295,10.06.14,5,4.0,2.0,0,0,3,9,2004,0,98033,1180000,337,558,230,108,238,703
1296,23.12.14,4,3.0,2.0,0,0,3,10,1997,0,98042,490000,337,779,337,0,313,824
1297,19.12.14,5,3.0,2.0,0,0,3,11,2000,0,98058,633000,337,2841,337,0,336,3900
1298,03.03.15,5,4.0,2.0,0,0,3,10,2008,0,98004,1560000,337,753,337,0,161,766
1299,15.04.15,4,3.0,2.0,0,0,3,10,2008,0,98188,500000,337,695,337,0,149,1461
1300,08.09.14,5,4.0,2.0,0,0,3,9,2014,0,98034,834950,337,456,259,78,335,464
1301,19.06.14,4,4.0,2.0,0,3,4,11,1927,0,98119,1530000,336,477,218,118,237,481
1302,22.09.14,4,3.0,2.0,0,0,3,10,1984,0,98052,900000,336,3957,336,0,274,3082
1303,30.10.14,5,4.0,2.0,0,2,3,9,2003,0,98029,856000,336,511,336,0,303,511
1304,19.02.15,5,3.0,1.0,0,2,5,8,1964,0,98006,858000,336,1188,177,160,272,992
1305,03.07.14,3,4.0,2.0,0,0,3,10,2005,0,98199,1020000,336,372,254,83,178,465
1306,11.09.14,5,4.0,2.0,0,2,3,10,1958,2010,98040,1490000,336,727,259,77,250,907
1307,08.01.15,4,2.0,1.0,0,0,4,8,1965,0,98005,768500,336,967,169,167,224,967
1308,16.07.14,4,3.0,2.0,0,0,3,9,1976,0,98038,480000,336,1487,336,0,241,1487
1309,18.10.14,5,4.0,2.0,0,0,3,8,2004,0,98038,394000,336,432,259,77,265,432
1310,07.04.15,3,4.0,2.0,0,0,3,10,1999,0,98006,1160000,336,750,271,65,342,894
1311,01.12.14,4,3.0,2.0,0,2,3,9,1980,0,98022,495000,336,37518,336,0,207,13830
1312,22.09.14,3,4.0,2.0,0,0,4,10,1988,0,98040,996000,336,756,254,83,190,351
1313,25.07.14,3,3.0,2.0,1,4,5,10,1977,0,98136,2230000,336,2608,220,116,237,3226
1314,24.04.15,4,3.0,2.0,0,0,3,10,2006,0,98058,680000,336,3293,336,0,308,5037
1315,16.01.15,4,3.0,1.0,0,4,3,10,1993,0,98075,919000,336,1592,206,130,328,1582
1316,22.10.14,4,4.0,3.0,0,0,3,9,2003,2009,98177,825000,336,604,336,0,217,669
1317,28.10.14,3,2.0,2.0,0,0,3,8,2007,0,98040,1580000,336,1324,299,37,220,1324
1318,02.12.14,6,3.0,2.0,0,0,4,8,1966,0,98008,650000,336,930,336,0,238,930
1319,13.05.14,3,4.0,2.0,0,0,3,10,2003,0,98027,777000,336,5546,227,109,291,6113
1320,25.11.14,3,3.0,1.0,0,0,3,8,1998,0,98053,635000,336,2450,181,154,243,2456
1321,22.12.14,6,3.0,2.0,0,0,3,8,1970,0,98011,610000,336,1118,298,37,205,797
1322,22.09.14,4,4.0,2.0,0,0,3,10,2000,0,98075,870000,336,1191,336,0,328,1095
1323,13.03.15,3,3.0,2.0,1,3,3,8,1918,1962,98023,425000,336,9980,291,45,244,3915
1324,19.09.14,5,3.0,2.0,0,0,3,8,2003,0,98038,549900,336,702,336,0,336,742
1325,02.01.15,4,3.0,2.0,0,0,3,10,1993,0,98023,510000,336,1761,336,0,332,1761
1326,28.05.14,6,3.0,1.0,0,4,5,9,1959,0,98075,968000,336,1634,192,143,269,1307
1327,13.04.15,4,3.0,2.0,0,0,3,10,1996,0,98075,875909,336,1235,336,0,279,1001
1328,14.01.15,3,2.0,2.0,0,2,3,10,1930,0,98126,1020000,336,790,243,93,270,466
1329,17.07.14,5,4.0,2.0,0,0,4,7,1989,0,98014,587000,336,4888,336,0,151,5587
1330,22.04.15,3,3.0,2.0,0,2,4,8,1954,0,98146,950000,336,1625,336,0,207,1171
1331,29.10.14,10,2.0,2.0,0,0,4,7,1958,0,98006,650000,336,1107,280,56,190,1107
1332,28.08.14,4,4.0,3.0,0,0,3,11,1994,0,98117,830005,336,735,306,30,229,678
1333,13.06.14,5,3.0,2.0,0,0,3,8,2003,0,98038,540000,336,908,336,0,260,798
1334,27.06.14,4,3.0,2.0,0,0,3,9,2014,0,98033,982000,336,797,336,0,219,797
1335,05.05.15,4,4.0,2.0,0,0,3,9,2008,0,98058,603000,336,590,220,115,280,2721
1336,12.11.14,4,4.0,2.0,0,0,3,9,2007,0,98199,1010000,336,372,245,90,184,372
1337,24.04.15,3,3.0,1.0,0,3,3,9,1950,2007,98008,1360000,335,1989,215,120,263,1632
1338,24.07.14,5,4.0,1.0,0,2,5,8,1960,0,98034,835000,335,1368,167,167,335,1427
1339,05.08.14,6,3.0,1.0,0,2,4,9,1977,0,98040,1000000,335,899,180,154,278,899
1340,30.06.14,3,2.0,2.0,0,0,4,6,1948,0,98033,461000,335,805,223,112,213,762
1341,29.01.15,4,3.0,2.0,0,0,4,11,1990,0,98077,875000,335,2025,335,0,317,1846
1342,18.06.14,5,3.0,1.0,0,0,4,8,1968,0,98166,403500,335,1608,224,111,243,2807
1343,09.10.14,4,4.0,2.0,0,2,3,11,1991,0,98034,1420000,335,3533,308,27,227,2109
1344,18.11.14,6,6.0,2.0,0,0,3,7,1971,0,98126,643500,335,368,223,112,135,428
1345,23.09.14,6,4.0,2.0,0,0,3,9,1945,2006,98199,1110000,335,578,243,92,133,578
1346,09.10.14,5,4.0,2.0,0,3,3,10,2005,0,98052,817500,335,865,249,86,318,916
1347,26.06.14,6,4.0,2.0,0,0,3,8,2004,0,98065,620000,335,639,255,80,293,619
1348,26.02.15,5,3.0,2.0,0,0,4,9,1976,0,98166,484000,335,1859,335,0,266,2024
1349,26.08.14,4,3.0,2.0,0,0,4,9,1959,1995,98004,1700000,335,900,335,0,243,967
1350,22.05.14,4,3.0,1.0,0,4,4,9,1976,0,98008,1080000,335,855,195,139,251,908
1351,29.01.15,4,3.0,2.0,0,0,3,9,1979,0,98077,682000,335,18906,316,19,293,18865
1352,23.01.15,4,3.0,2.0,0,0,3,9,2004,0,98010,760000,335,14453,335,0,317,3198
1353,31.03.15,4,4.0,1.0,0,0,3,9,1951,0,98112,1930000,335,1496,335,0,339,883
1354,12.11.14,4,4.0,2.0,0,0,3,9,1947,2014,98112,1350000,335,485,253,82,211,485
1355,13.03.15,4,3.0,2.0,0,0,3,9,2004,0,98199,970000,335,468,243,92,148,468
1356,25.03.15,3,4.0,2.0,0,0,4,8,1996,0,98014,660000,335,3530,335,0,191,1675
1357,10.04.15,6,5.0,2.0,0,0,3,9,2012,0,98118,729999,335,568,233,101,126,539
1358,08.09.14,4,3.0,2.0,0,0,3,9,2014,0,98052,923990,335,563,335,0,334,562
1359,14.07.14,4,4.0,2.0,0,1,3,10,2013,0,98059,1030000,335,1733,279,56,369,1018
1360,22.07.14,4,4.0,2.0,0,0,3,9,2014,0,98075,870515,335,529,273,61,324,549
1361,13.08.14,5,3.0,2.0,0,0,3,9,2014,0,98059,679950,335,877,335,0,330,876
1362,15.09.14,5,3.0,2.0,0,0,3,7,2006,0,98001,330000,334,462,334,0,297,558
1363,17.03.15,6,3.0,1.0,0,0,5,8,1964,0,98166,580000,334,1273,167,167,176,976
1364,07.07.14,5,3.0,2.0,0,0,3,9,2014,0,98053,861990,334,524,334,0,337,524
1365,17.10.14,4,3.0,2.0,0,0,3,9,1997,0,98023,515000,334,767,334,0,266,743
1366,05.06.14,3,4.0,2.0,0,0,3,10,1999,0,98074,798000,334,595,334,0,300,679
1367,30.04.15,3,3.0,1.0,0,0,3,9,1958,2007,98005,1330000,334,781,274,59,151,732
1368,21.07.14,4,3.0,2.0,0,0,3,10,2005,0,98077,879000,334,8331,334,0,259,5020
1369,15.09.14,4,4.0,2.0,0,2,3,9,2006,0,98115,1210000,334,496,292,42,195,581
1370,17.10.14,4,3.0,2.0,0,0,3,10,2012,0,98052,1100000,334,523,334,0,334,523
1371,23.04.15,4,4.0,2.0,0,2,3,9,2006,0,98115,1300000,334,496,292,42,195,581
1372,24.06.14,4,3.0,2.0,0,0,3,10,1985,0,98072,925000,333,3277,333,0,329,3415
1373,29.04.15,3,3.0,2.0,0,3,4,10,1989,0,98023,600000,333,1321,205,127,371,1364
1374,23.12.14,4,3.0,2.0,0,0,3,9,2004,0,98038,760000,333,9068,333,0,233,2516
1375,13.04.15,4,4.0,1.0,0,0,4,8,1990,0,98024,700000,333,4005,333,0,192,4005
1376,04.08.14,3,3.0,1.0,0,0,3,9,1992,0,98027,616500,333,10971,301,32,301,11457
1377,05.12.14,5,3.0,2.0,0,0,5,9,1966,0,98040,1410000,333,1560,333,0,315,1580
1378,30.03.15,3,4.0,2.0,0,0,3,9,2005,0,98038,665000,333,8906,333,0,268,5627
1379,27.06.14,3,3.0,2.0,0,0,3,9,1990,0,98038,725000,333,5060,333,0,287,3340
1380,08.07.14,4,3.0,3.0,0,0,3,10,1991,0,98007,711600,333,866,220,112,240,859
1381,07.01.15,4,3.0,1.0,0,0,3,10,1979,0,98074,879900,333,1115,171,162,270,1155
1382,26.09.14,5,4.0,2.0,0,0,4,8,1937,0,98155,600000,333,1984,199,134,226,1984
1383,03.07.14,5,3.0,2.0,0,0,3,9,2000,0,98033,1150000,333,829,333,0,252,865
1384,15.01.15,4,4.0,2.0,1,4,4,7,1915,1965,98125,2050000,333,1858,323,9,224,594
1385,15.05.14,5,4.0,2.0,0,0,3,10,1999,0,98027,765000,333,1327,296,36,255,1329
1386,24.03.15,5,4.0,2.0,0,0,3,9,2005,0,98019,624000,332,1361,332,0,294,733
1387,25.06.14,4,4.0,2.0,0,0,3,10,2015,0,98040,597326,332,767,266,66,207,929
1388,12.01.15,2,4.0,1.0,0,0,3,9,1998,0,98024,835000,332,36475,220,112,296,20242
1389,24.10.14,4,4.0,2.0,0,2,3,10,2006,0,98065,942500,332,1339,332,0,381,1355
1390,02.04.15,3,3.0,1.0,0,0,4,8,1981,0,98177,935000,332,1408,223,109,292,1336
1391,25.09.14,3,3.0,2.0,0,0,3,9,1997,0,98027,725000,332,3278,332,0,326,3457
1392,28.07.14,5,4.0,2.0,0,0,3,7,2005,0,98075,627000,332,504,332,0,250,497
1393,27.04.15,4,3.0,2.0,0,0,3,7,2005,0,98075,663000,332,580,332,0,210,486
1394,25.08.14,3,2.0,1.0,0,1,3,8,1946,1982,98039,2200000,332,2830,192,139,332,2548
1395,29.04.15,4,3.0,2.0,0,3,3,9,1935,2007,98074,895000,332,955,244,87,338,1424
1396,04.03.15,3,3.0,2.0,0,2,3,10,1985,0,98116,840000,332,581,252,80,237,706
1397,16.01.15,4,4.0,2.0,0,0,3,11,1990,0,98052,910000,332,2574,332,0,353,3335
1398,26.04.15,4,3.0,2.0,0,0,3,10,1990,0,98075,965000,332,1618,332,0,326,1501
1399,26.09.14,5,4.0,2.0,0,0,3,10,2014,0,98040,1600000,332,941,332,0,164,941
1400,29.09.14,4,3.0,2.0,0,0,3,9,2014,0,98052,928990,332,563,332,0,335,562
1401,15.12.14,4,3.0,2.0,0,0,3,9,2014,0,98052,942990,332,578,332,0,300,555
1402,06.05.14,4,4.0,2.0,0,0,3,10,2013,0,98055,580000,332,774,332,0,237,488
1403,03.04.15,3,3.0,1.0,0,0,3,8,1965,0,98007,662500,331,910,173,158,205,829
1404,07.12.14,3,3.0,2.0,0,0,3,11,1997,0,98052,843500,331,1064,331,0,306,1069
1405,20.10.14,4,3.0,1.0,0,1,5,8,1977,0,98040,1280000,331,1436,191,139,342,1609
1406,11.02.15,3,3.0,1.0,0,2,4,8,1948,0,98199,756000,331,771,153,178,257,771
1407,14.04.15,4,3.0,2.0,0,0,3,10,2000,0,98075,865000,331,1299,331,0,357,1266
1408,26.08.14,4,3.0,3.0,0,2,3,9,1996,0,98112,1050000,331,372,276,55,111,372
1409,06.05.15,6,5.0,2.0,0,0,3,7,1989,0,98002,389000,331,1302,331,0,159,1033
1410,11.07.14,4,4.0,2.0,0,0,3,10,2006,0,98075,790000,331,567,331,0,340,636
1411,30.10.14,4,3.0,2.0,0,0,3,9,2003,0,98029,770000,331,575,331,0,296,649
1412,13.05.14,4,3.0,1.0,0,2,3,10,1986,0,98004,860000,331,1033,213,118,306,1058
1413,18.02.15,4,3.0,2.0,0,0,3,11,1992,0,98077,896000,331,4335,331,0,327,4671
1414,07.05.14,6,3.0,3.0,0,0,4,11,1914,0,98112,1500000,331,602,331,0,258,602
1415,17.09.14,6,4.0,2.0,0,0,4,8,1963,0,98005,1100000,331,9978,257,74,298,3253
1416,02.04.15,4,4.0,2.0,0,0,4,9,1972,0,98040,1160000,331,1297,331,0,309,1100
1417,09.07.14,4,3.0,2.0,0,0,3,10,1988,0,98023,486000,331,1120,331,0,318,1046
1418,09.05.14,3,3.0,2.0,0,0,3,10,1987,0,98053,851000,331,9971,331,0,340,8299
1419,15.08.14,4,4.0,2.0,0,0,3,10,2014,0,98040,1400000,331,1560,238,93,288,1677
1420,24.03.15,6,2.0,3.0,0,2,3,9,1900,0,98122,835000,331,476,331,0,198,476
1421,26.03.15,6,4.0,2.0,0,4,4,9,1952,0,98177,1070000,331,1989,331,0,331,2262
1422,01.05.15,6,3.0,1.0,0,0,4,7,1957,0,98118,435000,331,399,165,165,283,558
1423,18.08.14,4,4.0,2.0,0,3,3,10,2006,0,98052,833000,331,667,241,90,306,649
1424,23.02.15,4,3.0,2.0,0,0,3,10,2001,0,98033,1360000,331,833,331,0,154,714
